,day,y
272,272,Telecommunications Services
273,273,Telecommunications Services
274,274,Telecommunications Services
275,275,Telecommunications Services
276,276,Telecommunications Services
277,277,Telecommunications Services
278,278,Telecommunications Services
279,279,Telecommunications Services
280,280,Telecommunications Services
281,281,Telecommunications Services
282,282,Consumer Discretionary
283,283,Telecommunications Services
284,284,Telecommunications Services
285,285,Telecommunications Services
286,286,Telecommunications Services
287,287,Telecommunications Services
288,288,Telecommunications Services
289,289,Telecommunications Services
290,290,Telecommunications Services
291,291,Telecommunications Services
292,292,Telecommunications Services
293,293,Energy
294,294,Energy
295,295,Energy
296,296,Energy
297,297,Energy
298,298,Energy
299,299,Telecommunications Services
300,300,Telecommunications Services
301,301,Real Estate
302,302,Real Estate
303,303,Real Estate
304,304,Real Estate
305,305,Telecommunications Services
306,306,Telecommunications Services
307,307,Telecommunications Services
308,308,Telecommunications Services
309,309,Telecommunications Services
310,310,Telecommunications Services
311,311,Telecommunications Services
312,312,Telecommunications Services
313,313,Telecommunications Services
314,314,Health Care
315,315,Health Care
316,316,Health Care
317,317,Health Care
318,318,Telecommunications Services
319,319,Consumer Discretionary
320,320,Consumer Discretionary
321,321,Consumer Discretionary
322,322,Consumer Discretionary
323,323,Consumer Discretionary
324,324,Health Care
325,325,Telecommunications Services
326,326,Industrials
327,327,Materials
328,328,Real Estate
329,329,Energy
330,330,Energy
331,331,Energy
332,332,Energy
333,333,Energy
334,334,Energy
335,335,Energy
336,336,Energy
337,337,Energy
338,338,Energy
339,339,Telecommunications Services
340,340,Energy
341,341,Telecommunications Services
342,342,Health Care
343,343,Health Care
344,344,Health Care
345,345,Health Care
346,346,Telecommunications Services
347,347,Telecommunications Services
348,348,Telecommunications Services
349,349,Telecommunications Services
350,350,Telecommunications Services
351,351,Telecommunications Services
352,352,Telecommunications Services
353,353,Telecommunications Services
354,354,Telecommunications Services
355,355,Telecommunications Services
356,356,Telecommunications Services
357,357,Telecommunications Services
358,358,Telecommunications Services
359,359,Telecommunications Services
360,360,Telecommunications Services
361,361,Telecommunications Services
362,362,Telecommunications Services
363,363,Telecommunications Services
