,ABT,ABBV,AET,A,ALXN,AGN,ABC,AMGN,ANTM,BAX,BDX,BIIB,BSX,CAH,CELG,CNC,CERN,CI,DVA,XRAY,EW,ESRX,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,PDCO,PKI,PRGO,PFE,DGX,REGN,SYK,COO,TMO,UNH,UHS,VAR,VRTX,WAT,ZBH,ZTS
416,41.269,57.3687,80.0651,56.3645,166.6061,238.1262,76.6854,139.1901,118.0808,71.4315,113.5884,324.6663,11.7678,74.6316,93.5368,40.716,58.6174,89.6742,72.9116,45.3295,51.5045,70.2849,105.8545,69.0486,57.7394,23.811,128.1746,60.016,159.182,48.068,154.1012,104.5682,101.5729,65.047,192.8681,62.2669,58.827,253.5184,45.3597,41.3046,43.057,149.1885,29.1738,60.5848,356.0384,81.0849,154.998,120.3069,84.951,103.9395,79.9871,107.5388,98.6603,100.4472,36.6697
417,41.1694,56.6885,79.1233,55.7038,167.6435,237.0062,76.9217,137.5376,118.2183,71.3049,113.7785,320.701,11.7644,74.9845,92.6474,40.2426,58.9593,88.752,73.5035,45.402,51.8783,70.2661,104.7043,68.4374,57.4244,23.7083,126.7939,60.6349,158.6938,46.359,155.0565,103.9377,101.8749,64.8024,194.7141,62.6669,58.7751,251.2568,47.6042,41.5506,42.4658,151.0586,29.0314,60.3472,355.3521,81.5225,155.0155,119.2843,84.6896,104.1896,79.8142,104.3163,97.342,101.0524,36.7441
418,41.6993,58.2611,81.1661,56.726,175.6882,243.0504,77.9522,139.0857,121.6616,72.751,115.7205,327.4365,11.9181,76.256,95.0804,41.1019,59.8897,90.4616,74.3477,46.1127,53.0505,71.2958,106.6117,70.9229,57.9376,24.4811,128.9644,60.8946,163.945,47.1714,159.1601,104.7663,102.3432,65.6292,199.7121,65.1297,59.8767,252.3968,50.0668,42.2313,42.8021,155.4536,29.2216,60.7146,360.8784,82.5027,156.4267,120.7047,85.8736,107.4136,80.7128,107.7396,97.7531,102.5662,37.6031
419,42.2981,58.0958,79.864,56.659,174.7378,244.4334,77.5418,138.0416,119.8361,72.9234,123.9627,326.022,11.8953,75.8066,94.6369,40.7875,59.3349,89.5989,73.9,46.0682,53.664,70.8002,105.4298,70.8711,57.9746,24.7838,127.2339,61.1681,163.1557,47.5864,164.394,105.036,101.6287,65.6713,197.2231,65.0503,59.685,253.365,51.2614,42.0617,42.8949,153.7121,29.2008,60.4263,359.7351,83.5729,156.6131,120.6098,85.4648,105.7645,81.2684,105.8623,97.9336,103.1033,37.7315
420,41.7866,56.9206,78.7156,55.5234,169.5416,243.9288,76.8331,136.639,118.4464,71.9835,126.9839,318.5085,11.8553,74.9441,92.8802,40.2902,58.3002,89.8367,73.3719,45.5152,53.097,69.8939,104.5489,71.0187,57.4065,24.2926,125.6201,60.8793,159.4098,47.0358,161.5751,103.0632,99.765,64.358,194.6739,64.1819,58.8022,250.2804,50.1876,41.576,42.4184,150.8192,28.9546,59.8181,355.822,82.8072,154.5098,119.0368,84.5832,105.9842,79.9853,103.8241,96.8726,102.0362,37.0623
421,41.8058,57.3993,79.2315,55.7118,172.9092,244.3973,77.2484,138.2897,119.1229,72.6397,128.9283,319.3398,12.0055,75.6769,93.6117,40.5399,58.6067,90.6354,74.3364,45.5811,53.1584,71.0362,106.8075,71.4702,57.3247,24.3223,126.441,61.1094,160.4406,46.9253,162.3195,103.8382,99.7372,64.6096,197.7315,64.991,59.6086,249.37,50.4854,41.4473,42.8524,149.6504,29.0119,59.7805,356.5594,83.7527,153.3299,120.0508,85.83,107.0239,79.7615,105.2733,98.1854,102.5482,37.155
422,41.977,57.4894,78.9379,55.4383,172.0237,245.0005,77.5328,138.3617,119.5487,72.2457,128.5517,320.7821,12.0143,75.8383,92.9793,40.6872,58.4712,90.3854,74.6422,45.3585,53.2692,70.652,106.7602,70.2294,57.0898,24.1325,125.8817,60.7762,161.2152,47.6224,159.181,102.7971,99.1307,64.631,196.8479,64.4454,59.6531,248.7591,50.6007,41.0758,42.7379,152.6708,29.1679,58.9172,356.6249,83.4667,154.5955,118.8492,85.3115,105.4279,80.0484,106.0131,98.3228,102.2122,37.0944
423,41.8987,55.6056,78.4279,53.8996,170.3973,239.3289,77.4567,138.9191,118.2076,71.6253,128.1396,319.3609,12.0119,75.947,92.0096,39.8771,57.7569,91.1174,73.9355,45.1266,52.7696,70.8105,105.3319,70.0396,56.9916,24.1483,127.031,60.3712,156.6901,46.8901,158.2339,101.8204,99.3737,64.5283,196.1112,64.3499,59.3226,243.024,49.7616,40.9762,41.6483,150.9664,29.2047,58.537,348.8775,82.5262,152.275,117.777,86.0143,104.8546,79.9516,106.065,98.063,101.8953,36.8813
424,41.304,54.3389,77.3387,53.3917,164.4008,228.1788,76.3607,135.1587,116.1616,70.3657,127.0752,306.6701,11.874,74.6539,88.4852,39.2784,57.1568,90.2741,73.8261,44.8525,52.0533,70.703,102.6741,68.4394,56.3503,23.7783,126.5559,59.7422,151.82,45.2214,156.4542,100.1744,99.7955,63.8779,191.136,63.5692,57.092,239.5226,48.3703,40.5547,40.4378,147.0324,28.9122,59.1602,336.0704,81.5951,148.5714,114.0832,84.8638,103.236,79.5018,107.551,96.3176,99.7805,36.115
425,41.3802,54.1328,74.3794,52.4138,161.6577,221.7442,76.7096,133.3344,113.0713,69.3986,126.156,303.8206,11.7117,74.7634,87.3687,38.4374,57.1954,87.8198,73.6609,44.8129,51.5645,70.6646,98.0369,66.6494,56.3613,23.8152,124.1066,59.2047,150.7379,46.6482,154.5744,97.7509,98.6487,63.3412,188.7174,63.6798,56.4375,237.5618,47.2561,40.3746,40.4381,147.2498,28.5835,58.3606,329.4454,81.2793,147.8465,112.2102,83.1659,102.8183,80.1162,105.0977,96.3451,97.884,35.9184
