,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BBT,BRK.B,BLK,HRB,COF,CBOE,SCHW,CB,CINF,C,CME,CMA,DFS,ETFC,FITB,BEN,GS,HIG,HBAN,IVZ,JPM,KEY,LUK,LNC,L,MTB,MMC,MET,MCO,MS,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RF,SPGI,STT,STI,TROW,BK,TRV,TMK,USB,UNM,WFC,XL,ZION
690,183.6933,64.2879,61.8285,73.8899,63.8784,116.8203,94.1814,43.491,82.5432,17.0512,37.6599,137.7881,354.2405,37.2654,79.9046,68.1111,31.1562,113.8704,60.6335,53.7368,96.108,44.4598,56.3536,28.7653,19.3335,41.0524,189.3019,46.7638,11.0851,33.3422,65.2821,12.684,20.1109,54.3874,37.2403,120.5631,56.1824,50.926,95.4539,33.4313,59.2486,71.1718,16.1991,91.5433,51.1097,33.4013,83.8506,9.5045,92.0144,70.1056,42.3073,75.9946,42.0722,113.7316,58.9095,42.5638,35.0288,54.6649,38.1408,29.0384
691,186.2865,64.0897,62.843,74.089,60.9278,117.9027,94.4869,43.9663,83.3798,17.1596,37.7772,138.0351,357.6067,36.9336,80.8632,68.8487,31.5104,113.7501,60.4173,54.1079,96.2432,44.7495,56.3346,28.7683,19.5652,41.3054,191.0871,46.5886,11.1559,33.6893,65.8305,12.77,20.0857,54.8014,37.3674,120.2808,56.373,51.3469,98.3187,33.3081,59.4556,71.6821,16.2324,91.7327,51.431,33.3902,84.8874,9.5739,96.2088,71.1635,42.4657,76.5069,42.5477,113.7882,58.7861,42.6562,34.9492,54.8891,38.1292,29.0545
692,186.7983,64.0841,62.6772,74.2088,60.1788,116.4026,94.7318,43.9458,83.0212,17.1154,37.9012,137.4945,357.2983,36.8737,80.763,67.9769,31.5348,113.0187,60.3411,53.9375,95.3888,44.6871,56.4068,28.8433,19.5614,41.2131,191.5392,46.4812,11.198,33.5284,65.903,12.812,19.9645,54.8883,37.1595,119.8098,56.3988,50.6404,99.6279,33.4188,58.4126,72.1246,16.2188,92.2472,50.9376,33.2083,84.691,9.5905,97.3406,71.1727,42.7558,76.4144,42.6818,113.8934,58.4955,42.661,34.6687,54.5584,37.7647,29.103
693,187.1989,64.2355,63.3539,73.9349,61.731,116.686,94.9189,44.0439,83.6982,17.2802,38.146,136.9308,357.2991,37.1528,80.0112,68.2809,31.6334,113.4796,60.5739,54.1534,95.6546,45.3933,56.687,28.8823,19.7125,41.4606,191.93,46.799,11.3169,33.8038,66.3912,12.9602,19.4704,54.9714,37.1365,120.4185,56.2655,49.5211,101.179,33.8417,58.6266,73.0672,16.3888,92.776,50.8407,32.5742,84.3298,9.7312,97.3693,72.3272,43.3328,76.6171,43.178,114.1415,58.5214,42.6322,34.4832,54.8697,37.5892,29.6172
694,188.2603,64.3144,63.9844,74.4391,62.2458,119.3611,93.8249,44.0097,84.7345,17.944,39.1027,136.1083,356.4673,37.1377,81.1024,68.5531,33.6409,112.7692,60.6864,55.9139,97.0365,46.7453,57.4692,30.4382,20.4566,40.9382,198.1542,47.4978,11.6159,34.0339,68.446,13.3645,19.4655,56.9809,37.6272,123.4738,56.0592,51.7861,101.9514,35.3244,58.2624,74.8561,16.7638,95.2258,51.7396,31.8148,87.7354,10.1236,98.3236,73.7341,44.36,76.8063,44.2133,113.0755,59.5184,43.8055,35.8195,55.8702,37.5866,30.7332
695,180.2162,63.7394,63.5176,73.5301,61.2566,117.7426,92.5872,43.5771,84.0917,17.7912,38.7359,134.1975,349.875,36.648,80.6208,69.0276,33.566,112.4452,60.2533,55.6527,97.1134,46.3759,57.1735,30.4056,20.3461,40.6512,197.4823,46.9586,11.5983,33.5427,67.6502,13.1947,18.932,56.0037,37.6355,122.8375,55.7009,50.9119,100.6946,35.1749,57.7956,74.2979,16.7294,94.9994,50.7241,31.5016,86.3867,10.0079,96.5726,72.5332,43.3974,75.7148,43.8487,112.6989,59.4855,43.3251,35.9003,55.6001,37.3703,30.5431
696,177.2853,64.1101,63.3271,73.3434,61.1799,116.4743,92.7803,43.9017,84.6469,17.7897,38.2864,134.2132,348.1276,36.8772,79.6027,69.7127,33.207,113.251,60.4917,55.6801,97.3384,46.2233,56.9022,29.906,20.4731,40.6334,196.9423,47.2101,11.5759,32.9116,67.4937,13.1711,18.9129,55.7826,37.7901,123.0357,55.6724,50.6163,99.9027,35.0501,58.1389,74.297,16.7356,94.9302,50.3404,31.3814,86.013,10.0117,96.0747,71.5124,43.5695,75.8211,43.6159,113.841,59.9289,43.3427,36.4338,55.7471,37.5677,30.6064
697,177.6868,64.3309,63.1713,73.0034,60.9486,116.3004,93.7032,44.2288,84.6412,17.7968,38.3302,134.7459,350.9141,36.9739,79.123,70.7041,33.5625,113.4165,60.7092,55.1866,98.0008,46.3378,57.0247,30.0668,20.4968,40.8285,197.7015,46.9864,11.5939,33.4099,67.574,13.1771,18.8932,55.7214,37.6348,124.7628,55.5426,50.4515,100.5632,35.1598,58.6524,75.0117,16.7803,95.435,50.558,31.5938,86.7699,10.0273,96.9787,71.7147,43.5481,76.3996,43.8757,114.3681,59.9166,43.4004,36.5806,55.7903,37.7058,30.6406
698,172.866,63.7476,62.6032,72.1104,59.8381,114.4929,93.2141,43.5213,83.2959,17.4848,37.9878,133.5805,347.0809,36.5638,77.6416,69.6073,32.9144,111.9719,60.2283,53.8353,96.7197,45.5015,56.2172,29.2236,20.167,40.5477,193.4774,46.0023,11.389,32.7718,66.2576,13.0103,18.5997,54.7692,37.2351,123.9887,55.0351,49.7599,99.8995,34.4288,57.916,74.2376,16.6041,93.8696,49.4292,31.2068,85.4082,9.8506,95.8792,71.0103,42.9111,75.696,43.4085,112.9483,59.1133,42.8548,36.1036,55.439,37.3722,29.9619
699,167.8187,63.2368,62.4484,71.5335,59.3964,112.8833,93.0369,43.0189,82.4723,17.187,37.4357,132.4876,343.9215,35.7492,77.0881,69.2275,32.3898,111.8513,59.6834,53.1016,95.5149,44.8395,55.8819,28.8595,19.7726,39.8599,191.1065,45.384,11.2882,31.8874,65.611,12.8028,18.052,54.256,37.0493,122.5505,54.4129,49.7815,97.461,33.9974,56.7074,73.396,16.3509,92.5148,48.8379,30.8001,84.3625,9.7423,94.9369,70.1223,42.1467,74.6097,42.7839,112.2244,58.6091,42.4639,35.9322,54.6837,36.891,29.5378
