,Industrials,Health Care,Information Technology,Consumer Discretionary,Utilities,Financials,Materials,Consumer Staples,Real Estate,Energy,Telecommunications Services
385,88.13498153846153,104.18175714285715,74.194845,103.85771772151897,60.547349999999994,67.29293333333334,95.09468260869563,72.79507878787878,92.12902999999999,89.01233529411765,121.47324
386,88.59315076923076,104.58841428571428,74.62588833333334,104.41677721518987,61.07359642857143,67.46863166666667,95.5210956521739,72.94720303030303,92.50637666666667,89.75252058823531,121.61126000000002
387,89.20249384615386,104.57513928571429,74.76322,104.57606075949367,61.17960357142857,67.61166166666668,95.4788695652174,72.94307878787879,92.69473666666664,89.72051470588237,122.05528
388,89.3559923076923,104.67864107142857,75.01988666666668,104.75417974683545,61.426028571428574,68.059735,95.66656086956522,73.16099090909093,93.04604666666667,90.24285882352942,122.47531999999998
389,89.14266615384615,104.51694464285713,75.02687499999999,104.85880126582278,61.296610714285706,68.134665,95.43678260869567,72.94758484848485,92.44775333333335,89.70855588235293,122.51432
390,89.47150307692309,105.29845892857143,75.06229499999999,105.3384911392405,61.59056071428571,68.78355833333335,95.70549565217391,73.11392727272727,92.17519666666666,90.76020294117647,123.12372
391,89.35148153846154,105.71723214285714,75.14698,105.37261012658227,61.33445,69.16035166666667,95.89086086956523,73.16690303030305,92.21697333333333,91.56936176470587,123.31224
392,89.15276461538463,105.63880535714286,74.96077166666667,105.1497746835443,61.46777857142856,69.05271666666667,95.84428260869564,73.15463333333332,92.24128999999999,91.16146470588238,123.65688
393,88.93205076923077,105.47837678571429,74.78136,104.85547215189874,61.884632142857136,68.78319499999999,95.99226521739132,73.19509393939393,92.16925666666666,91.22897647058824,123.72934000000001
394,89.00878615384617,105.81348392857142,75.12609166666667,104.8002329113924,62.25187142857143,69.03886000000001,96.21798695652171,73.28729393939395,92.56397,91.82332647058823,124.21813999999999
395,89.3849676923077,106.15010357142856,75.30740333333334,104.99990379746832,61.98744642857143,69.25270666666667,96.08786521739128,73.41616666666667,92.66615333333334,91.09792647058825,124.39505999999999
396,89.39894923076922,106.39909464285714,75.46575166666666,104.97087974683545,62.23786785714286,69.34541666666668,96.18481304347826,73.44170606060605,92.86886333333335,91.32621470588235,124.43449999999999
397,89.70429846153847,105.98009107142856,75.532855,105.28012025316457,62.17830714285715,69.396265,96.2685043478261,73.56124545454546,92.84546000000003,90.14838235294118,124.32786000000002
398,89.53848769230768,105.47042499999999,75.53269666666667,104.65095569620253,62.69775,69.15306666666666,96.30323913043479,73.69362424242424,93.32619,89.9142588235294,124.84652000000001
399,89.61958153846155,105.95635535714284,75.73670833333334,104.4852848101266,62.55137142857142,69.28716999999999,96.49993913043478,73.64627272727273,93.52534333333331,88.80851470588235,125.0809
400,89.34177846153847,105.87425178571428,75.30826500000002,103.77062784810127,62.12791428571429,68.78085166666666,95.90959565217392,73.35337272727273,93.1034333333333,88.87177352941177,125.04482
401,89.16864153846154,106.01200892857143,75.34408333333332,103.50098607594937,61.852050000000006,69.01597666666666,95.63267826086958,73.52966666666666,92.12106666666666,88.1936,124.00327999999999
402,89.30520615384616,105.82969642857142,75.45158999999998,103.5946848101266,62.15008928571429,69.042125,95.89793043478261,73.6228606060606,91.82544,88.4887205882353,124.3981
403,89.17443846153847,105.34654107142858,75.289495,103.50147088607595,61.653275,69.282015,95.58115217391305,73.37136060606062,90.04458,87.85366470588235,124.49589999999998
404,89.03054615384615,104.56183035714285,74.60149500000001,102.83527215189872,61.65308928571428,69.218205,95.53555652173912,73.62864848484848,89.60974,87.97846470588235,124.45082000000002
405,89.27749846153847,105.43390357142857,74.86543999999999,103.38511012658228,62.153860714285706,69.36505166666667,96.03304347826088,74.14730303030302,90.08470333333334,89.17321470588236,125.02756
406,89.87803538461539,105.93771607142857,75.19278333333334,103.64636962025315,62.22786428571429,69.7422,96.26100000000001,74.02385151515152,90.42372333333333,89.1718705882353,125.69124000000002
407,90.09724769230769,106.45493214285715,75.73330666666668,104.20476582278481,61.832425,70.43848166666666,96.6775695652174,74.14504545454545,89.93661333333331,88.51589705882351,126.13091999999999
408,90.1745753846154,106.81519821428573,75.65765833333333,104.27292151898733,62.16947142857142,70.41880666666665,96.85134782608696,74.41812424242424,89.99530333333333,88.38695294117646,126.60874000000001
409,89.1711153846154,105.90180892857143,74.82268166666667,102.46454936708861,62.033471428571424,69.78610499999999,96.42138695652174,74.37842424242423,89.42930666666668,86.73672647058822,126.86684
410,88.53781846153846,105.67122321428572,74.66504499999999,102.14907721518986,61.840382142857145,69.41179166666667,96.10752173913043,73.92966060606061,89.13341666666666,86.87140294117647,127.03929999999998
411,88.57918923076923,106.8781875,75.01761500000002,102.44540000000002,61.69311071428571,69.44300500000001,96.41219130434784,74.43655757575758,88.85438666666667,86.35533529411765,126.99300000000001
412,87.77056153846155,105.93096785714286,74.21187666666667,101.8413341772152,61.51746785714285,68.7783,95.64056956521739,73.97715757575757,88.34103666666665,85.93911176470588,126.84232000000002
413,88.23314923076921,105.67577321428573,74.35742166666667,102.23306455696202,61.39553214285716,69.12113500000001,95.81766086956522,73.82223636363638,88.69213999999998,86.47532647058823,126.53742
414,88.22608153846154,105.78056428571429,74.39305333333336,101.82810886075951,61.66413928571428,68.88781499999999,95.69426086956521,73.94153636363637,88.83277000000001,86.4467382352941,127.0799
415,88.41201846153847,105.50567321428571,74.56521166666668,101.75553670886077,62.052778571428576,68.91373166666668,94.9498043478261,74.18001212121212,89.04638333333334,85.93653235294119,127.76758
416,87.23951692307693,104.39947142857143,73.34797833333332,100.56871898734178,62.342478571428565,68.07705666666666,93.38733478260869,73.77095151515151,88.90330999999999,84.88303235294117,127.51248000000001
417,86.91449384615385,104.1503142857143,73.04577,100.4262594936709,62.205525,67.925685,92.6854043478261,73.75865454545453,88.78839333333333,83.16105882352942,127.3631
418,88.15496461538461,106.05929107142858,74.03437333333335,101.96808734177215,62.320385714285706,68.86388166666666,93.3102347826087,74.48118484848486,89.37752666666667,83.27328235294117,127.974
419,88.11552923076923,106.02466964285713,74.00293166666665,101.6367746835443,62.5335357142857,68.85698833333335,93.17304782608694,74.45101818181818,89.58134333333334,83.07376470588235,128.18807999999999
420,86.60399384615384,104.80365535714284,73.04288,100.4770911392405,62.687571428571424,67.97974,92.26920434782608,74.33413939393938,89.08922000000003,82.69232352941177,127.76678000000001
