,AAP,AMZN,AN,AZO,BBBY,BBY,BWA,KMX,CCL,CBS,CHTR,CMG,CMCSA,DHI,DRI,DLPH,DISCA,DISCK,DG,DLTR,EXPE,FL,F,GPS,GRMN,GM,GPC,GT,HBI,HOG,HAS,HD,IPG,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MAT,MCD,KORS,MHK,NWL,NKE,JWN,ORLY,OMC,RL,PCLN,PHM,PVH,ROST,RCL,SNI,SIG,SNA,SWK,SBUX,TGT,TGNA,DIS,TIF,TWX,TJX,TSCO,TRIP,ULTA,UAA,URBN,VFC,VIAB,WHR,WYN,WYNN,YUM
935,141.5234,815.5956,46.6974,746.6891,40.4728,39.4209,34.6725,50.1004,46.6703,57.6084,255.6943,411.9338,32.0556,29.1197,63.1257,63.8481,26.9605,26.0393,67.7864,75.8101,126.5304,67.6324,11.9734,26.2787,48.3508,31.9508,89.8955,31.5854,24.7033,56.0096,82.5602,126.0684,22.1186,44.8544,72.2789,44.9127,40.3791,32.7544,70.3066,36.1993,67.0364,32.5676,113.7557,48.7478,196.3793,52.4036,51.6023,53.6787,274.5391,79.3752,96.0089,1462.44,19.0749,109.2958,63.2159,69.5855,65.5509,80.3637,157.591,119.6483,53.5027,67.9908,20.1111,92.4477,73.2055,89.7099,73.3608,64.4918,62.9372,252.3209,37.9598,33.5905,54.3952,37.4178,165.7937,67.9547,95.4531,86.8107
936,141.566,832.3117,47.1693,751.8195,40.8224,39.4151,35.365,51.1864,46.9897,56.6631,258.4172,412.446,32.423,29.3188,63.2129,64.3978,26.6223,25.8943,68.2808,75.9532,127.7441,68.7843,12.1559,26.5077,48.8219,32.8237,91.059,31.8614,24.6401,56.9291,83.8108,127.7445,22.7977,44.5846,72.9958,45.1209,40.9106,33.1193,71.1211,36.6218,67.5723,32.9779,113.5148,48.8584,198.7664,52.5806,52.0036,54.5972,278.6382,80.4901,98.2542,1471.02,19.0996,109.1745,63.3904,70.4824,65.9238,79.9006,159.6179,119.6378,54.17,68.2342,20.1208,93.3109,73.8008,87.1702,74.0146,64.5925,63.6965,252.113,37.9328,33.6525,53.8021,37.348,170.5605,68.5477,97.0095,87.6262
937,142.8656,837.1325,45.7932,749.1675,40.731,39.1253,34.9489,50.9037,46.8929,56.3071,258.0731,410.5383,32.525,28.8249,61.6983,63.1272,26.2807,25.5659,68.1423,75.7509,127.9471,67.5833,11.8704,26.3917,49.1955,31.8124,90.5395,31.1423,23.9544,56.4472,83.3426,124.2897,22.8078,43.3862,72.4361,44.7837,40.4515,32.9092,68.7505,35.9926,67.2075,32.6682,113.0524,48.5557,188.3455,51.7168,51.0423,54.1065,279.1022,80.2465,97.6837,1477.72,18.7646,105.6712,63.0169,70.4419,65.3875,80.5699,156.825,117.2163,53.6466,68.0144,19.8415,92.9369,73.2691,87.2137,73.471,63.2151,63.5409,248.059,32.7827,33.9497,52.9098,37.3303,151.8702,68.2227,95.6998,86.0221
938,143.6835,825.1725,46.3615,751.1748,40.6917,39.2747,35.5136,51.5473,46.9303,56.5427,249.6627,373.4707,31.553,28.6516,61.4192,64.1994,26.3339,25.5866,68.4064,76.8797,126.2937,68.8903,11.8621,27.0601,50.9767,31.5276,90.8067,31.2543,23.8979,56.5754,82.8057,123.0353,22.5155,43.9805,72.7078,45.0044,40.3572,33.1824,67.5421,36.0263,66.5564,32.2083,112.095,48.7422,187.0866,50.9801,51.9257,54.387,278.036,79.9084,98.2904,1471.16,18.6085,105.8232,63.6105,69.9541,65.7602,82.6348,155.5209,116.5974,53.6257,68.5245,19.9185,93.2111,73.7213,88.3237,73.9981,63.2801,62.0217,246.7986,32.066,34.2019,54.1155,37.684,150.1249,64.0676,96.3654,85.6461
939,140.1218,821.9017,46.0211,733.1955,40.238,38.6203,35.073,50.7286,46.5516,56.5763,244.4837,368.0261,30.617,28.1059,61.579,64.1007,26.1695,25.4106,67.7456,75.1078,126.0821,67.1077,11.6998,26.7046,48.6352,31.3221,89.5283,31.0531,23.8788,55.8146,82.6057,122.6165,22.0993,43.7824,72.7395,44.3346,39.7746,31.3224,67.3269,35.4214,66.6348,31.5843,112.1085,48.183,184.9517,50.2962,51.9578,53.2228,259.0924,79.2317,97.9361,1466.17,18.2245,105.389,62.6423,68.1637,64.3078,81.4622,154.027,114.5349,53.5483,67.8623,19.5847,93.9062,72.8655,88.0991,73.3372,62.3219,61.637,241.552,31.1777,33.4976,54.3138,37.5498,147.4842,63.794,94.1327,85.4586
940,140.4043,780.453,44.1697,733.2484,40.3966,38.9749,35.7301,49.5925,48.1646,56.7557,249.4936,370.8103,31.0897,28.6513,62.4127,64.9016,25.9856,25.2997,68.2869,75.3244,131.6828,67.256,11.7455,27.0678,47.9656,31.4822,90.0172,28.1022,26.2484,56.169,83.1517,123.3759,22.3322,44.0902,73.674,45.7652,40.4578,32.0402,67.0376,35.515,67.4702,31.717,112.0406,49.8431,185.8738,49.4072,52.1399,52.4843,260.7881,79.7475,98.9759,1474.88,18.5349,106.0158,62.2655,73.8425,63.5668,81.1774,153.8829,114.5245,53.5313,68.691,19.6996,93.8978,73.2408,87.947,73.5286,61.9671,63.9083,242.332,31.1563,33.7754,54.3923,37.6764,151.288,64.8294,94.5347,85.6217
941,139.5899,787.9435,43.8463,738.8733,40.4575,38.8458,35.7931,49.8402,48.9477,56.7148,249.8837,364.1887,30.9667,28.8797,64.3679,65.0185,26.034,25.1786,69.0234,75.5701,129.5532,66.6709,11.7353,27.4618,48.2133,31.5145,90.3548,29.0131,25.6661,57.241,83.6182,122.3223,22.3653,43.8783,72.1809,45.8108,40.9887,32.2013,66.6059,36.3324,68.6278,31.5969,112.479,50.7367,184.6114,48.2972,50.3745,52.0703,263.7508,79.7652,98.0651,1475.56,18.6352,106.6977,62.3111,76.719,64.064,81.3453,154.0071,113.9403,53.2468,68.7682,19.6325,92.6987,73.4597,88.5031,73.6158,62.3312,64.4757,243.0423,31.0371,33.4071,54.1431,37.5628,150.2539,65.9283,94.4292,86.1441
942,139.5972,787.6963,43.2217,736.8673,40.014,38.7233,35.3601,48.9123,48.6251,55.7641,248.1536,358.5357,30.7427,28.6573,64.481,65.3277,25.5143,24.6269,68.9906,75.0334,127.0647,66.2433,11.6486,27.0715,48.7669,31.57,89.1256,28.0131,25.0795,56.3787,82.4276,120.3374,22.2311,43.746,66.2834,45.5863,40.4677,32.0056,65.8179,36.8676,68.3318,30.9625,112.2462,51.0974,179.8676,48.1899,49.7522,50.9994,263.8899,79.4227,98.9233,1468.05,18.5631,107.0914,62.1066,76.1607,63.743,80.6275,152.5619,113.622,52.4333,67.8561,19.9435,92.3255,72.9276,88.2775,72.7641,64.3671,63.6097,240.6813,30.7162,33.6246,54.0658,36.7236,150.312,65.4503,98.3439,61.3071
943,138.4476,771.5113,42.229,738.3344,39.6459,38.4588,35.0461,48.8564,48.4385,55.3275,251.3823,365.855,30.7047,28.6076,64.8288,67.0646,25.1948,24.3296,69.4628,75.361,124.0857,67.1437,11.435,26.9002,48.2814,31.4643,88.6392,27.9617,24.4547,56.1069,81.445,120.6292,22.1278,42.835,66.1016,45.2338,40.1617,31.7998,66.6609,36.8246,68.6967,30.963,112.3279,50.0852,179.7426,47.8487,49.7968,50.8966,264.0094,79.2704,98.0511,1451.15,18.355,106.818,62.0994,75.5178,63.3454,80.3174,152.7423,113.7213,52.9513,68.0064,18.6393,92.1058,72.6374,87.7655,72.8031,65.6375,62.1038,240.0695,30.789,33.1659,54.1264,36.012,151.2843,65.16,96.7466,59.8662
944,139.3943,769.7438,41.3297,740.693,39.3834,38.2881,34.5695,49.5956,48.3962,55.8649,251.9619,372.2035,30.5842,28.4329,64.106,66.9499,25.7483,24.8076,69.054,74.5493,125.3479,66.0443,11.3563,25.862,47.515,31.2211,88.139,28.0063,23.8216,56.1032,81.0559,120.5318,21.913,43.1382,65.5576,44.984,40.0046,31.3967,66.7245,37.1517,69.087,30.2791,111.8185,48.5642,177.5559,47.5983,49.6164,50.7274,262.7986,79.349,97.8022,1443.38,18.1404,104.3168,61.6445,76.0822,64.8671,81.4092,152.4293,114.031,51.9378,67.2575,18.2509,93.4477,72.2596,87.133,72.2129,65.993,62.6977,232.5689,30.3889,32.7554,53.5561,36.7012,150.938,64.7356,89.289,59.9776
945,137.4178,758.4875,40.9744,735.2347,38.9856,38.3438,34.288,51.0768,48.3061,57.0169,250.7436,373.5392,30.422,28.921,63.9235,66.6323,26.0878,24.9601,68.6581,73.9266,125.314,66.3281,11.4134,25.9105,47.1943,31.2974,88.1133,27.9852,23.7649,56.0509,81.8192,121.256,22.0933,42.8828,65.3402,45.2103,40.9183,31.5117,66.6307,37.0611,69.7958,30.5754,111.2938,49.3609,190.1739,47.7182,50.1019,50.4414,262.3618,79.6044,98.9175,1431.68,18.3555,104.7403,61.5768,76.1301,65.193,81.7099,153.8629,114.8666,52.9685,66.8267,18.1004,92.8958,73.364,86.6209,72.0949,66.1719,63.5979,230.0359,30.7929,32.4139,53.7804,36.7791,153.0594,64.595,88.0861,59.8741
946,137.3291,780.8707,41.2431,734.7599,39.5268,38.9877,35.0322,51.3508,48.8098,57.5677,255.8344,382.063,30.6955,29.2316,65.3206,68.7578,25.663,24.7322,69.7103,75.394,126.7286,67.0339,11.5516,26.7392,47.7661,31.9636,88.4877,28.1411,24.2367,56.6489,82.4642,123.4765,22.2963,43.6647,65.6321,45.6928,41.0962,31.7777,67.3318,37.5934,70.8266,30.8398,112.7311,50.7102,194.4488,48.991,50.7159,51.6708,260.3287,80.6924,99.8377,1471.68,18.5916,107.3825,62.3683,76.2753,65.6446,83.7681,157.0528,116.6387,54.1944,67.3241,18.4926,93.9949,75.5932,87.6056,72.8766,65.7635,63.7388,229.7309,31.245,32.5629,54.7345,37.3685,155.1045,66.2684,88.5542,61.4767
947,137.8222,785.8839,40.2539,732.0531,39.727,38.118,35.2436,48.9937,49.5537,57.9283,261.3116,376.1835,31.2515,27.7543,65.5345,69.7004,25.7178,24.8854,69.5135,75.5851,126.8703,67.1637,11.4379,26.5482,48.1208,31.6791,88.6894,28.2937,24.2641,56.8685,83.2355,124.4502,22.5442,43.8429,65.2103,46.3558,40.4149,31.817,66.8863,37.8954,72.3658,30.938,113.8589,50.3722,194.8843,50.2151,51.1585,52.0862,260.0993,81.2505,98.8614,1573.68,18.2954,107.1097,62.9857,77.1481,65.6789,83.0514,157.9228,117.7056,54.5525,67.0106,18.6325,94.4845,75.7512,87.7008,73.286,65.613,63.8523,232.3207,31.3863,32.7799,54.5134,37.3536,157.3916,66.929,87.0626,61.929
948,138.7843,767.5071,41.0269,736.6269,40.5587,38.0364,33.7502,50.2425,49.1607,57.2657,267.9886,374.4653,31.6801,27.4387,68.0015,65.1432,25.807,24.9535,70.3316,74.7571,124.78,68.5197,11.3549,27.0971,48.6411,30.584,89.4069,28.122,24.2206,57.9638,82.9871,124.2866,21.9592,45.1557,65.4707,46.5344,39.9344,31.7549,66.915,38.0082,72.8444,31.0436,114.6499,50.0732,195.9834,49.6559,50.665,51.7329,260.5175,80.5556,101.2778,1561.03,18.0115,105.7739,62.3592,78.2985,64.9099,85.2363,160.3431,119.3688,54.263,68.0088,18.8115,93.9979,76.9575,86.5163,73.3172,66.4879,52.5856,233.0757,31.2439,34.0419,54.6344,37.576,158.7388,67.5901,86.9883,61.7385
949,145.0442,741.2875,42.5556,746.9387,43.6755,39.8234,34.9026,52.6329,49.8445,57.381,272.9976,388.5043,32.5926,27.6028,69.3431,66.7482,26.1235,25.3974,73.666,77.206,124.0526,71.2957,11.8865,28.491,49.5664,32.31,93.5394,29.06,24.5647,59.9179,83.9959,129.1282,21.9313,51.1607,68.2133,47.4948,40.8048,31.9836,69.7207,40.8971,73.7791,30.9904,114.3585,51.7245,202.7986,48.2091,50.7591,56.2159,263.8805,80.5467,107.0503,1557.81,18.3724,112.9655,63.4534,80.7382,66.6578,89.3514,165.0745,123.8527,53.9277,71.0166,19.8184,95.3466,80.0517,86.1852,75.5094,68.2874,52.2106,237.1468,31.7973,36.7073,56.2789,38.1108,164.707,69.1182,86.4696,61.6085
950,144.9227,736.202,42.785,749.255,43.7013,38.3192,34.665,54.0374,49.8067,57.7556,270.5435,395.7946,32.9278,27.5777,69.8147,65.6235,26.1873,25.5479,74.8092,77.9206,121.8798,70.9732,12.2435,28.8182,49.7967,33.8812,94.2256,29.2577,24.7178,59.1268,84.4192,129.5035,21.9683,52.7224,68.6793,47.79,40.6201,32.1083,69.7072,40.7799,73.3626,30.6511,114.4506,48.7123,199.97,47.6512,50.6223,56.9578,262.7322,81.0322,107.0364,1541.7,18.514,111.6495,63.5007,81.3243,67.9792,90.0728,166.4895,125.6442,53.6827,71.1844,20.7289,97.5041,80.7424,86.6881,75.0811,70.2387,51.1044,237.8703,31.7133,37.1189,56.7498,38.297,163.1279,69.3061,84.2345,60.8707
951,144.3498,722.8915,45.0908,736.0192,45.9296,39.8257,34.3276,57.1706,50.3334,58.3904,266.89,410.7332,33.7383,27.7883,72.1468,66.5974,27.8466,27.034,76.4847,78.9202,118.977,72.1534,12.2276,30.2214,51.9719,33.6239,96.006,30.0106,25.2769,59.3395,86.8439,128.409,22.2063,55.2981,70.4529,49.1181,41.1931,32.5352,69.9958,42.6912,76.329,31.6197,117.6316,47.7764,198.0543,46.4549,50.5933,60.9817,262.6989,82.927,111.1538,1500.68,18.5947,108.8043,64.0241,83.8951,72.2296,92.4732,167.9846,122.9204,54.1978,72.2623,22.2005,97.9858,78.2817,86.7894,74.8829,72.121,49.3441,242.0681,31.389,39.741,57.6512,38.6867,163.3046,71.1185,83.9222,60.892
