,AMT,AIV,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAC,MAA,PLD,PSA,REG,SPG,SLG,UDR,VTR,VNO,HCN,WY
1085,131.9296,42.9521,191.4718,121.1992,34.4823,103.5165,118.1222,440.7441,65.3015,255.4154,77.7676,124.7332,22.2987,31.2634,17.9359,35.1705,17.721,57.9177,101.1452,55.9491,214.7299,61.3201,156.0575,101.8086,38.4085,66.6134,92.5061,72.6918,33.1575
1086,131.8292,43.0244,191.4934,121.2832,34.7046,102.5233,118.0691,440.4442,65.2325,256.486,77.4121,122.802,22.2256,31.2834,17.8858,34.9593,17.4798,57.3384,101.9032,55.5515,215.0433,60.7529,154.4037,101.1841,38.584,66.5549,91.9759,72.5615,32.997
1087,131.609,42.8134,190.1259,121.6358,35.3837,103.0602,118.012,437.6725,64.8258,257.1446,75.7459,123.8227,22.5261,31.204,17.9634,34.8884,17.7332,58.1593,101.7076,55.5918,211.9425,60.7667,154.3622,102.38,38.4769,66.5188,92.6194,72.571,33.3988
1088,132.4413,43.4399,194.2134,122.3232,35.5181,104.3543,119.2534,442.4641,66.277,260.9136,76.2368,123.8168,22.5237,31.9286,18.0496,35.3437,17.7797,57.9866,103.7751,56.7705,213.5422,61.0643,153.5449,103.1886,39.1662,66.9716,92.6745,73.7455,33.5232
1089,131.696,43.9813,198.1995,122.2364,35.1993,103.8318,119.0186,443.4595,67.1642,265.0158,75.5884,121.8498,22.3216,31.6539,17.9468,34.9303,17.3392,56.7198,105.3668,56.6375,211.7034,60.23,151.958,103.0066,39.7172,66.837,93.0606,73.4169,33.3465
1090,131.7964,44.2787,195.4984,120.866,34.5376,103.4917,119.2743,443.2978,67.0925,264.2738,74.8869,121.9011,22.4587,31.6339,17.8065,34.945,17.6678,57.0266,105.2177,56.5245,209.2164,60.9128,152.5447,101.973,39.5897,66.7602,91.6123,73.2741,33.387
1091,131.1761,44.3523,194.5157,121.5971,34.5471,103.1401,118.2051,439.6174,67.0283,263.6442,75.4194,124.7247,23.3022,31.4685,17.8909,33.531,18.4318,58.3372,106.3589,56.5838,209.1533,62.2343,155.2259,102.1227,39.935,66.6924,91.8322,73.1427,33.0645
1092,130.5118,43.8867,193.1877,122.1404,34.5574,100.9952,116.3447,438.0557,67.0921,264.0843,75.0796,123.3003,23.1197,30.967,18.1226,33.294,18.2078,57.4862,107.0594,56.2563,209.751,61.7949,154.5126,103.2431,39.7555,66.3712,92.1167,72.6974,32.5645
1093,130.5329,44.2868,194.491,124.5844,34.9271,102.0242,114.0461,438.7876,67.4961,265.6687,74.6856,123.882,23.1504,31.1276,18.4799,33.241,18.4024,57.9333,107.2962,56.862,208.028,62.1523,154.671,105.6079,40.0994,66.8252,93.1699,73.2322,32.9825
1094,128.7807,44.1754,193.4423,126.9424,35.1975,101.8066,112.9366,427.1858,66.9906,263.1988,74.9309,126.4703,23.9265,31.4128,18.6038,34.0647,19.1008,59.5229,107.2648,57.1986,206.4222,63.5322,159.2072,108.2368,39.7397,67.985,95.1695,73.8445,33.5849
