,AES,LNT,AEE,AEP,AWK,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SCG,SRE,SO,WEC,XEL
838,11.374,38.2697,49.5267,65.7673,75.8898,23.0338,42.7085,75.1178,72.7898,92.6011,79.9265,72.5492,78.4069,35.0428,33.7298,121.821,24.4459,17.713,61.3817,75.3805,39.2787,45.3882,70.9797,108.9761,50.1316,61.252,42.0582
839,11.4883,38.4707,49.6169,65.8934,76.0142,23.1111,42.6838,74.8583,72.773,92.8699,80.1636,72.5164,78.5094,34.8362,34.054,121.4649,24.5043,17.8431,61.5911,75.5352,39.2966,44.4138,70.8754,108.8461,50.215,61.0519,42.0767
840,11.4352,38.7879,49.6078,65.9795,76.4218,23.2043,42.7317,75.2761,72.9717,93.1579,80.3291,72.7163,78.4269,34.9771,34.0781,122.5307,24.6498,17.9252,61.8386,75.7604,38.8224,44.2423,70.5812,109.3373,50.2778,61.4338,42.0791
841,11.3951,39.313,50.5636,66.6724,77.0703,23.2986,43.1266,76.2382,73.4091,93.7436,81.0596,73.4065,78.383,34.9296,34.1467,123.607,24.8639,16.4954,62.6478,76.7657,39.1266,44.5359,71.3597,109.7715,50.7204,62.1002,42.4825
842,11.229,39.023,50.8108,66.8,77.4368,23.1296,43.3052,76.8553,73.408,93.888,81.0648,73.86,78.5689,34.5887,33.7856,123.6925,24.9281,15.2921,62.9978,76.8037,39.2747,44.3856,71.5509,109.3445,50.9935,62.4343,42.6848
843,11.1674,38.9185,50.8693,66.6877,77.7086,23.0187,43.3662,77.2387,73.545,94.0222,81.6851,73.9483,78.6142,34.5965,33.6536,123.7148,24.9738,14.9613,62.7459,76.6886,38.8929,44.5674,71.5598,109.4416,51.0973,62.6123,42.7337
844,11.087,39.0495,51.0871,66.5805,77.6195,22.9867,43.6149,77.8626,73.5289,94.5846,82.0433,73.7973,78.7032,33.8105,33.6386,124.4768,25.0878,14.3245,62.8086,77.0451,38.8575,44.3249,71.935,109.7091,51.1595,62.8343,42.5466
845,11.1017,38.7387,50.9345,66.3227,77.864,22.9634,43.4999,77.5063,73.6472,94.112,81.6519,73.5693,78.3002,34.2043,33.7255,123.964,25.2002,14.082,62.4245,76.8032,38.8761,44.3573,71.1859,109.2774,50.9644,62.5653,42.4458
846,11.1583,38.8038,51.1703,66.7862,78.3986,22.9483,43.6688,77.9597,73.6704,93.8278,82.3522,73.8631,78.2914,34.2165,33.9089,124.5968,25.3495,13.9531,62.8952,77.4283,38.9037,44.5218,71.4328,109.2156,51.0347,63.0634,42.7482
847,11.4999,38.7688,51.0948,66.9991,78.086,23.0463,43.6936,77.7161,74.018,94.1224,82.674,73.9015,78.4013,34.4299,34.1251,124.8679,25.2374,14.3777,62.9157,77.5151,39.04,44.6364,71.2828,109.4407,51.0813,63.0862,42.7406
848,11.8502,38.8447,51.273,66.8175,77.3232,23.1899,43.5677,77.0553,74.2285,93.821,81.9583,73.8616,78.2816,34.5893,33.9195,124.2832,25.1075,14.4497,62.62,77.2943,39.5326,44.4381,71.3184,109.5822,50.8236,62.8679,42.6766
