,MO,ADM,BF.B,CPB,CHD,KO,CL,CAG,STZ,COST,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA
49,34.7093,31.926,35.375,46.0659,31.1336,42.287,59.3306,35.4017,47.2904,103.9811,56.892,47.2423,66.9992,49.7284,20.4052,101.614,64.8462,101.6011,16.7897,71.5771,49.8556,29.9945,18.5577,82.001,91.4982,79.8334,34.2268,88.8528,89.3788,23.5337,77.5298,48.5784
50,35.04,32.1318,35.7618,46.4184,31.3153,42.539,59.6963,35.9164,48.149,104.0083,57.8048,47.9124,68.4422,50.2759,20.6341,103.0765,65.8772,105.4748,16.8513,72.1635,51.7344,31.2383,18.5603,82.6186,92.0643,81.137,34.5875,89.6409,90.2217,24.0665,77.9857,49.3302
51,35.1413,32.1619,35.5603,46.4438,31.5953,42.6506,60.1542,35.9891,47.9452,105.097,57.8567,47.8583,69.5254,50.3654,20.6101,102.7557,66.0104,105.172,17.0432,71.5325,52.1417,31.4809,18.5495,82.8712,92.4112,81.3191,34.6649,89.0908,90.1331,24.1335,77.8767,49.7278
52,35.3155,32.3578,35.5253,46.6509,31.871,42.7447,60.5322,36.0324,48.4655,106.7222,58.0879,47.7439,70.3652,50.6847,20.8349,104.3894,66.6127,105.5076,17.2345,71.9927,52.6164,31.8641,18.8797,83.9679,93.2497,82.1336,34.8912,89.4009,91.0732,24.6067,78.87,49.7906
53,35.5765,32.5327,35.1806,46.3443,31.5886,42.463,59.4627,35.6625,48.1651,108.0153,57.8152,48.8842,69.3414,49.8211,20.7469,103.3744,65.8066,104.0401,17.4013,71.7853,52.0223,31.6022,19.2388,83.01,94.4142,78.0191,34.8486,87.8672,90.1318,24.8155,78.5039,49.2185
54,35.8726,32.9922,35.0449,46.3225,31.7421,42.3555,60.2293,35.5782,48.2981,108.8762,58.0316,48.1853,69.0079,49.4568,20.6663,102.4351,65.7791,103.7331,16.9947,71.863,51.5271,31.6706,19.0599,82.7694,94.5182,76.8245,34.7433,87.2249,89.2258,24.8771,78.5725,49.672
55,35.988,33.6225,35.0741,46.3091,31.7101,42.1716,59.6236,35.3621,47.9181,109.1477,57.8101,48.0299,69.1279,49.6395,20.6531,102.0034,65.6889,103.2842,17.0814,71.3424,51.0202,31.5971,18.928,82.585,95.3237,76.9834,34.8295,86.7893,87.6707,24.7702,78.9438,49.3698
56,36.466,33.9726,35.1004,46.3033,31.9554,42.1441,59.7923,35.3328,47.8232,108.8313,57.4962,48.0999,68.956,50.1079,20.5714,101.9257,65.354,103.2653,17.1598,71.5277,51.4731,31.5354,18.8445,82.7206,95.7593,77.606,34.9654,86.7981,87.9042,24.5469,78.464,49.404
57,36.4206,33.8789,35.0949,46.3401,31.8749,42.2141,59.5485,35.3221,48.7441,108.1651,57.9417,48.5424,69.5304,50.2273,20.5811,103.0323,65.0793,103.0651,17.1493,71.7821,51.1766,31.4644,18.7547,82.4046,95.5876,76.8603,34.8214,86.1067,88.6497,24.5272,77.7296,49.2925
58,36.6028,33.7006,35.1223,46.335,31.7179,42.3232,59.8296,35.1216,49.4678,108.4533,58.7965,48.2055,69.6882,50.5553,20.6271,102.6289,64.9349,103.7795,17.1789,72.1677,51.3495,31.5501,18.5722,82.5041,96.0697,77.1767,34.7782,85.4359,88.5301,24.4339,78.2171,49.3892
