,ACN,ATVI,ADBE,AKAM,ADS,GOOGL,APH,ADI,AAPL,AMAT,ADSK,ADP,AVGO,CA,CSCO,CTXS,CTSH,GLW,EBAY,EA,FFIV,FB,FIS,FSLR,FISV,FLIR,GPN,HRS,INTC,IBM,INTU,JNPR,KLAC,LRCX,MA,MCHP,MU,MSFT,MSI,NTAP,NFLX,NVDA,PAYX,QCOM,RHT,CRM,STX,SWKS,SYMC,TEL,TDC,TXN,TSS,VRSN,V,WDC,WU,XRX,XLNX
612,100.4891,26.0424,81.9926,72.4957,305.6987,584.4705,55.2624,62.5025,125.7352,19.0697,53.2998,81.8214,131.4922,30.5809,27.9288,70.7768,60.7088,19.2371,63.8472,72.5733,118.2845,90.0743,64.0851,46.074,87.2104,31.0182,53.2142,80.6807,29.7075,168.6041,105.8196,26.019,56.0353,79.615,95.4587,45.2332,19.5076,45.6867,58.5713,30.8993,100.371,19.8208,48.1794,64.0244,80.6686,71.7722,47.4771,101.4306,23.4403,63.0464,36.3025,49.7736,43.0506,64.3015,70.0263,78.1455,19.1654,42.0614,42.7332
613,100.0943,25.747,82.0306,72.307,301.7661,583.3046,55.2622,62.8059,126.5936,18.7014,52.7261,82.3549,131.9065,30.5147,28.1011,70.0867,60.9882,19.1118,63.6821,72.5259,117.9262,90.2273,64.2572,44.6995,87.2626,30.7769,53.3143,81.7942,29.6621,168.6027,106.2376,26.1918,54.9408,79.5031,95.2548,44.9434,19.0468,45.7522,58.8038,31.0871,98.7484,19.7429,47.9382,63.9137,80.2328,71.5489,47.3743,101.1627,23.3435,62.9771,36.1001,49.5869,43.1624,64.3862,70.0486,78.6085,18.9588,41.8775,42.5794
614,101.3106,25.8562,82.4546,72.609,302.9375,594.9563,55.0536,62.7105,128.0271,17.9296,52.7138,82.7963,133.6084,30.7078,28.3244,70.2572,61.3284,19.4845,65.8605,72.9934,117.793,90.3368,64.3732,44.6786,88.0953,30.5821,53.8016,82.0584,29.7651,170.5807,107.7612,26.3648,52.5329,76.9131,95.7674,44.3615,19.4083,46.4103,59.2072,31.1997,112.6002,20.0874,47.7116,64.4579,80.49,72.2295,47.7636,101.7589,23.3678,62.8636,35.6723,49.2059,43.6941,64.9017,70.3414,78.8064,19.2511,42.3584,42.3936
615,100.5348,25.8047,82.1776,72.6635,302.0349,691.9814,54.3491,62.3692,129.1271,17.7858,52.1505,82.4589,133.1265,30.5339,28.1148,69.8089,60.6146,19.1713,65.7944,73.1366,116.3172,94.3859,64.0949,44.0405,88.0229,30.248,53.2915,82.0735,29.3546,171.6,107.0341,26.3419,52.0538,77.2428,95.8411,44.2082,19.8709,46.524,58.8624,31.1249,115.5067,19.9787,47.4515,64.3733,79.3965,72.8101,48.1062,102.5238,23.3393,62.3019,35.4387,49.1716,43.8168,65.076,70.6771,78.6562,19.2528,42.8445,42.4145
616,100.7721,26.1693,81.9641,73.4669,303.217,689.0996,54.3156,62.2962,131.9767,17.8203,52.0273,82.1434,134.8094,30.4623,28.0078,69.4554,60.5386,18.9606,28.3677,74.6025,116.5515,97.229,64.4207,43.6686,88.3153,30.151,53.9739,81.8088,29.2137,173.0869,106.7542,26.4088,52.1208,77.3204,97.3496,44.1521,19.2256,46.7902,59.251,31.135,111.2917,19.8224,47.3482,63.9912,79.1316,72.8695,47.6624,103.978,23.2945,62.2846,36.7218,50.1563,44.5655,65.4513,72.5043,78.2775,19.2547,43.6081,42.3744
617,100.4813,26.1988,81.4541,72.7535,300.3455,697.6947,54.2938,62.0702,131.1356,17.8699,52.2226,81.5003,135.1319,30.5296,27.9553,69.6121,61.7035,18.79,28.5801,73.8243,117.9975,98.0999,63.9054,43.3625,87.5813,29.7876,53.5282,81.2749,28.9225,163.6944,106.3563,26.389,52.0454,77.5536,96.7856,44.0544,18.8124,46.8901,59.3715,30.7539,112.3499,19.874,47.2221,65.2173,78.6447,73.4985,48.2039,103.5002,23.107,62.442,36.6127,50.5854,45.1707,65.2837,72.1202,78.6295,19.1049,42.5385,41.9627
618,101.8783,25.9402,81.1044,72.7457,301.1279,704.3386,56.5401,58.1462,124.2599,17.492,52.0668,81.6853,128.0109,30.262,27.6268,69.3932,62.0549,18.6715,28.4822,72.9247,118.9027,96.809,64.0775,42.7454,87.991,29.8323,53.4316,81.4389,28.6025,160.9861,106.7617,26.079,51.3545,76.0416,96.8378,42.0848,18.0324,45.8373,59.3382,31.0521,111.8141,19.4103,47.3039,64.4188,79.2213,73.8621,48.5617,98.4232,23.0298,61.9293,36.7639,48.8228,45.0455,65.6075,71.8604,77.8709,19.1369,42.7446,40.9846
619,102.6573,26.0147,80.8242,73.582,287.3566,682.1382,56.6308,60.0797,126.0586,17.7228,52.5838,81.0301,132.7245,30.1742,27.9398,69.7813,62.2504,18.8376,28.4549,72.3135,128.2479,95.9486,62.9077,42.9391,86.8729,29.9655,52.8159,82.0938,28.6902,161.4759,107.2491,26.4449,52.8353,77.2258,95.4304,42.8673,18.6588,45.9268,59.0126,31.532,110.6198,19.667,46.7836,61.6695,79.733,72.8954,48.1378,103.2974,23.2345,61.3874,36.8126,50.4414,44.5088,66.0418,71.6541,77.8063,18.9909,43.1651,41.5135
620,101.3946,26.0826,80.9434,72.7521,274.7611,661.4734,55.9192,58.8333,124.7778,17.3896,51.8571,80.1075,129.7787,29.12,28.5643,69.2687,61.7955,18.6156,28.4358,71.8662,127.7229,96.8876,62.6007,42.8491,86.1734,30.6642,52.4014,81.1248,28.2611,160.2061,106.9054,27.8375,51.4071,75.5624,96.3182,42.0765,18.3339,46.0019,59.461,31.1999,109.9451,19.4642,46.1982,61.7934,78.9486,73.2167,47.2179,99.7453,23.0598,60.5644,35.9444,49.3201,44.5532,68.9108,75.5083,77.2297,18.7622,44.0969,40.4137
621,100.4954,25.639,80.0156,71.605,268.66,660.5281,55.1398,57.9899,122.8613,17.3685,51.193,79.6971,125.1934,28.9168,28.3053,68.5101,60.891,18.5047,27.9753,71.4587,127.9645,94.6592,62.1341,42.2418,85.1683,30.3081,51.3455,80.0023,28.2342,159.295,105.2465,27.5475,51.1263,75.406,94.6819,41.7523,18.1657,45.5255,58.8388,30.883,107.7279,19.3444,46.1801,62.15,77.6074,72.7954,47.8773,94.0115,22.7936,60.048,35.7001,48.9957,44.1206,67.7202,73.9441,76.7328,18.4181,42.9152,40.0391
622,101.3174,25.6471,80.1317,72.9195,269.3087,658.3734,56.1833,58.8459,123.311,17.507,50.629,80.2346,127.1449,28.9087,28.1546,69.2581,60.999,18.3528,28.0628,71.7055,130.6978,94.5579,62.3013,42.9763,85.3038,30.0769,54.5244,80.1529,28.8319,159.6523,104.7827,27.3953,51.7938,77.1481,95.1251,42.4987,19.3096,45.3098,58.8811,30.9802,106.3068,19.5924,46.4945,63.0448,77.8386,73.021,48.5398,95.0027,22.6903,60.5561,35.9852,49.9289,44.6317,69.4702,74.5969,77.2204,18.4006,42.5232,40.9666
623,102.2237,25.8464,80.1067,69.8808,272.7844,658.1494,56.7107,58.7301,122.8159,17.4863,50.156,81.6399,127.5782,29.183,28.3372,75.2242,61.8237,18.3438,28.6528,71.7339,131.7459,96.0273,63.0515,45.0344,87.0731,30.4357,56.0528,81.2805,28.9846,160.8555,105.103,27.3847,51.5419,77.1922,95.8238,42.7967,20.0906,46.2585,59.4018,31.0058,106.828,19.9094,46.5663,63.1844,78.8149,73.3141,49.2045,94.4904,22.7446,60.8097,36.08,49.8423,46.7671,70.2185,75.929,78.5294,18.9109,42.97,41.3423
624,102.5226,25.9882,80.978,74.6882,271.6757,661.1385,56.9857,58.539,122.1703,17.6443,50.2858,80.3895,127.3862,29.3529,28.2998,75.3445,62.7004,18.6406,28.3489,72.0052,133.4347,94.0703,65.673,45.1765,87.5788,30.7611,55.8852,82.1517,29.0221,160.8162,105.2863,27.8086,52.0555,79.3743,97.9155,42.9509,19.7999,46.7902,59.7426,31.3797,109.7422,20.0483,46.2975,64.2241,79.1322,73.0646,50.936,95.6802,22.7537,60.7124,36.5415,50.1075,46.0759,70.873,76.2568,86.8302,18.9639,42.9342,41.6838
625,103.3511,25.8601,82.225,76.3953,274.1734,660.0018,56.5651,58.5,121.4134,17.4329,50.6936,79.8601,125.8831,29.2009,28.4104,75.6329,63.2141,18.7117,28.2464,71.4851,134.2804,95.1474,65.3874,44.6882,87.1482,30.8566,56.1168,82.9261,28.8905,161.4528,105.8187,28.3745,52.7467,77.4474,97.7401,42.8359,18.9955,46.8132,60.1115,31.2529,113.865,19.9485,46.4,64.5878,79.4082,73.5283,50.7047,95.7778,22.7876,60.9697,37.1333,50.0816,46.2089,71.1246,75.6847,85.9249,20.2069,43.824,41.7871
626,103.0593,25.5058,81.3375,75.707,273.8032,662.7175,55.8609,58.6663,119.4318,17.1955,52.6556,79.665,125.4067,28.8552,28.3037,75.58,62.7955,18.2802,28.0965,70.6224,131.1526,93.9369,65.1971,43.7398,86.9298,30.5756,56.143,82.1069,29.0476,159.0281,104.8763,28.2083,52.5157,75.9644,97.1267,42.7024,19.0213,46.7119,59.5271,30.8089,112.8318,20.1568,47.0212,64.3806,78.3796,72.6083,51.3208,93.1641,22.4469,60.8951,36.508,49.9938,46.3153,70.3693,75.5418,85.8149,20.0811,43.8343,41.7052
627,103.8219,25.6386,81.952,75.8368,274.8052,663.0148,55.6917,58.5238,115.048,16.9465,53.9313,80.8688,122.17,29.0649,28.1344,75.7277,63.3523,18.2968,28.2752,71.4628,131.5234,94.0911,65.4223,44.1686,88.0384,30.5211,56.3278,82.3751,29.0082,157.5667,105.5091,28.1105,52.0368,73.694,97.5937,42.2122,18.9224,47.4524,60.1322,30.5616,119.3857,20.3058,47.967,63.7655,79.0269,72.1679,51.2976,87.4559,22.3995,61.0964,36.2824,49.7927,46.9774,70.8652,75.4006,84.4523,20.192,44.0212,41.7437
628,104.6624,28.7025,83.611,76.1485,277.4756,674.7952,56.112,60.4777,115.4508,17.084,54.2355,81.7817,124.402,29.3321,28.3415,77.1841,67.8794,18.4315,28.5798,75.048,132.5752,96.278,65.7324,51.6344,88.6658,30.8128,56.8212,83.2356,29.1786,158.2389,107.0001,28.3501,52.7181,74.0839,98.3503,43.7354,19.1273,47.8561,64.088,30.8563,125.6723,20.6664,48.3146,64.0643,80.372,72.9212,51.6498,89.2762,22.9138,62.3902,36.4164,50.8598,47.4811,71.2304,75.3413,84.7063,20.4116,44.1867,42.6131
629,103.4342,28.7429,82.6453,74.7193,270.7294,667.4624,55.8108,59.2117,114.9997,16.918,53.1207,80.6012,122.8767,29.0865,28.2606,76.205,67.0921,18.2631,28.259,74.1022,130.4859,96.208,64.9136,51.5136,87.427,30.7996,56.3787,82.797,29.0152,156.6335,104.8711,28.1265,51.9364,72.8023,97.4569,43.2454,18.6763,46.7383,63.4968,30.7047,125.8271,20.4238,47.6899,63.0529,78.4329,70.9666,51.5936,86.2138,22.5094,61.848,30.9854,50.2952,46.8537,70.5796,74.0667,84.1202,20.4223,44.0466,42.733
