,MMM,AYI,ALK,AAL,AME,ARNC,BA,CHRW,CAT,CTAS,CSX,CMI,DE,DAL,DOV,DNB,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FLR,FBHS,GD,GE,GWW,HON,ITW,IR,JBHT,JEC,JCI,KSU,LLL,LMT,MAS,NLSN,NSC,NOC,PCAR,PH,PNR,PWR,RTN,RSG,RHI,ROK,COL,ROP,R,LUV,SRCL,TXT,TDG,UNP,UAL,UPS,URI,UTX,VRSK,WM,XYL
573,162.9442,180.5515,67.4293,48.96,55.3709,40.1656,146.7867,65.1282,88.1141,86.1068,35.6596,142.9024,89.1549,47.3682,75.8197,129.3647,73.2976,60.2348,100.0399,47.8217,42.508,176.6082,57.345,58.693,45.2917,140.2658,27.3293,245.8284,106.8482,96.9634,70.5626,88.691,43.9993,41.6239,94.4163,120.1128,192.9481,27.0918,45.8016,97.7714,158.1198,65.6985,122.343,64.0137,29.7955,107.1376,40.9027,57.4474,125.1123,98.7869,175.827,96.2878,42.0616,138.256,46.539,227.2757,103.6841,61.9122,101.7585,103.3613,118.6059,73.4927,49.8242,36.9835
574,163.1619,181.7012,67.2097,48.402,54.9276,39.3286,147.2582,65.1231,87.0442,86.4277,35.7164,140.3769,89.0304,46.6692,75.1026,129.7091,72.7183,59.8461,100.162,47.5452,42.4059,178.1766,56.5297,58.358,46.0955,140.2039,27.3359,245.9976,105.8986,96.7887,69.9222,88.704,43.719,42.1465,94.814,120.5148,193.5507,27.7795,45.7994,97.3942,158.8636,65.4368,121.8558,63.9915,29.4976,106.915,40.8381,58.021,124.9916,98.9631,176.2743,96.2232,41.4032,138.3808,46.4696,228.1191,104.0252,61.6898,102.3491,102.1086,119.0749,73.3591,49.8284,36.7966
575,162.2247,182.5385,64.27,44.5415,54.9175,39.2191,146.7707,64.107,87.7915,86.3676,35.293,141.0218,88.9578,43.9049,76.4768,129.3257,72.718,60.0203,99.7637,47.2904,42.5674,177.9532,56.8845,58.812,46.0371,140.2589,27.5114,246.1978,106.2645,96.5789,69.4204,87.6825,44.0375,42.5319,93.8928,121.1495,193.1641,27.4161,45.7838,96.2688,159.6673,65.3438,122.4532,64.1261,29.5798,106.7151,40.6551,57.5422,124.9683,98.7291,176.7046,94.6107,37.879,137.9993,46.4587,228.7048,103.2127,56.1412,102.086,102.5557,119.0506,73.3009,49.806,36.8134
576,162.0527,182.6074,64.4291,42.9079,54.9662,39.0969,147.3231,64.1912,89.2855,86.3785,35.5182,141.9755,89.4027,43.7205,77.6621,129.4178,73.2522,61.9719,99.8176,47.2438,42.7264,176.5248,57.6928,59.0371,46.0676,140.7463,27.6859,246.386,106.4321,97.546,69.5728,86.3255,44.3818,42.8518,95.8042,121.3342,193.284,27.6797,45.7785,97.1733,161.1296,65.5189,124.8649,65.721,30.0479,107.4748,40.6849,57.1368,125.8717,98.3923,176.9932,94.6747,37.4326,138.1646,46.5825,228.604,104.8126,54.7471,102.1707,105.0976,119.2526,73.4186,50.0886,37.0602
577,161.2541,182.0875,64.4309,42.5042,54.8776,38.9573,145.2846,64.014,88.8209,86.0452,35.473,141.9662,93.0129,43.3526,77.7278,129.0165,73.2174,61.9633,100.3675,46.8656,42.4525,175.355,57.2311,58.1296,46.1889,139.7319,27.7047,246.2331,106.1167,97.0834,69.4762,85.4651,43.8201,42.8354,94.2321,119.6309,192.8347,27.514,45.8892,95.8588,160.2861,65.7413,124.6931,65.0442,29.7373,106.8345,40.6265,56.6962,125.4983,97.9104,177.3444,94.1584,36.9768,138.6737,46.4015,227.706,104.3872,53.7469,101.5606,104.722,118.9484,73.4899,50.1486,36.9724
578,159.598,180.5306,62.812,41.8669,53.9619,38.2458,142.7395,63.0406,87.7159,85.6237,34.9127,140.3907,93.7144,42.1741,77.2566,127.7409,71.9823,60.9675,99.073,46.5717,42.358,174.2369,55.6378,56.7231,46.2956,138.0428,27.492,244.747,104.7575,95.3386,68.6529,84.5697,43.0221,42.4456,93.7619,117.7729,190.9968,27.1346,45.428,94.7447,158.5763,65.2401,123.1713,64.3004,28.9133,105.6104,39.9976,56.3428,123.8818,96.8227,175.5449,94.3488,36.0264,137.0932,45.5795,227.2887,103.0094,52.3192,100.5671,104.3084,116.9585,72.4199,49.7072,36.3815
579,160.7513,178.8075,63.1585,42.0968,54.2512,38.2986,143.0144,63.2245,88.0267,86.0723,35.0087,140.575,94.4849,42.6366,76.5633,129.1269,72.7757,60.8358,99.8665,46.7402,42.4482,176.1302,55.5169,56.7285,46.3412,140.1339,27.5276,244.7392,105.18,96.0155,69.3153,85.1322,43.3841,42.5798,94.4417,118.3139,190.7882,27.4189,45.4026,94.8688,159.0505,66.3658,122.7703,64.5964,29.3373,105.0953,40.0155,56.5065,124.3843,96.7746,177.3082,94.5019,36.8026,138.1085,45.8904,228.6564,102.6983,53.5274,100.6894,104.6902,117.4394,73.2914,49.8332,36.4308
580,160.419,178.3059,63.5913,42.1043,54.1335,37.9157,142.2564,62.5394,86.1282,86.2614,34.636,139.2324,93.5237,42.489,76.3955,128.6681,72.5815,60.8182,100.1852,46.1274,42.5477,175.2296,55.2233,56.2787,46.4573,140.0322,27.479,244.2524,105.3691,95.3463,69.4196,84.4345,43.2458,42.5782,92.5122,118.2051,190.0533,27.5685,45.0155,93.508,159.6597,65.2645,121.9733,64.4217,29.3021,104.6367,40.085,56.8572,123.9769,96.426,176.7178,93.1916,36.6929,138.0968,45.8022,227.6259,101.46,53.7284,99.9702,96.3305,117.7072,73.2369,49.8321,36.5138
581,159.3415,176.6915,64.3758,42.1216,53.8143,37.5119,140.8866,61.9204,85.4457,86.328,34.1913,136.326,93.7465,42.6923,75.5464,128.07,71.7767,60.3795,100.2592,45.9277,41.7081,173.5622,55.1399,56.267,45.9318,140.0571,27.3585,241.5307,104.4403,94.033,68.9563,83.7999,43.3166,42.3105,90.6849,117.842,188.4346,27.2246,44.9891,92.2166,159.144,63.7204,120.5692,64.1095,29.3246,103.5355,40.2757,56.4545,123.0011,95.2673,175.288,91.8413,37.02,137.4617,45.3342,226.0729,100.8201,54.2527,99.1923,89.6314,117.18,72.6464,49.669,36.6289
582,159.0837,176.9027,65.6708,43.4413,53.652,37.182,141.1617,61.9271,85.4525,86.3545,34.252,135.3382,92.9467,43.9658,75.3099,128.0646,71.6699,60.3082,100.0159,46.1533,41.7163,174.7085,54.9483,56.4529,46.106,139.9206,27.2185,241.6055,104.1285,93.6407,69.0107,83.6239,43.4599,42.1974,91.5815,117.9255,190.5367,27.3754,44.9782,92.5889,159.7294,63.8794,120.4305,63.651,29.4538,103.8046,40.314,56.6057,123.6614,95.1526,174.5827,91.6691,37.5809,137.3893,45.1826,227.8111,101.4184,55.774,99.4706,89.6658,117.0923,73.4495,49.7648,36.5561
