,APC,APA,COG,CHK,CVX,XEC,CXO,COP,DVN,EOG,EQT,XOM,FTI,HAL,HP,HES,KMI,MRO,MPC,MUR,NOV,NFX,NBL,OXY,OKE,PSX,PXD,RRC,SLB,SWN,RIG,VLO,WMB
608,75.9661,53.9049,29.7635,11.1576,93.9225,104.3318,107.979,58.6651,55.896,84.9058,77.7462,82.234,37.4899,41.1586,63.9677,64.5759,37.3629,24.8912,54.3462,40.371,44.5095,35.2851,39.2759,72.9029,38.7743,79.149,134.3544,45.6277,83.3396,21.2495,15.2554,64.0951,56.1625
609,76.4676,54.2831,29.7758,11.7489,94.2671,105.6886,110.16,59.0908,56.285,85.9726,78.0379,81.9923,37.6515,41.5004,64.8604,64.8972,37.6671,24.9973,53.7189,40.9091,44.6653,35.4925,39.5751,73.4385,39.3351,79.5482,138.4755,46.4468,83.7742,21.5044,15.2826,64.3112,56.7932
610,75.9027,53.1877,29.4251,11.5352,94.4447,105.663,108.9014,58.9976,55.935,85.0369,76.9629,82.1866,37.455,41.4435,64.3644,64.4125,37.9796,24.5443,54.409,40.2008,45.0578,35.5008,39.1422,73.4037,39.323,81.2811,135.6516,45.6245,84.0158,21.1938,14.6867,65.6818,57.6
611,75.832,53.0541,29.5677,11.0142,94.5678,105.5578,109.2788,58.9249,55.468,84.1079,77.2332,82.4056,37.3316,41.6353,64.6848,64.0532,38.2231,24.6221,59.239,40.2527,45.6551,35.4893,38.8854,73.2639,40.9576,83.5823,135.8815,45.5958,84.1215,21.3461,14.7784,66.9144,58.2251
612,76.1496,54.0656,29.9227,11.2038,95.4406,108.6825,111.2667,59.3185,56.133,85.0779,78.4124,82.9722,37.6065,42.5398,65.6181,64.885,38.1419,25.0283,58.8517,40.6552,45.7276,36.5092,39.3911,74.093,41.3592,83.7623,137.4208,47.1493,85.3409,22.1096,15.182,66.8469,58.0202
613,75.4921,53.5991,29.5402,11.1817,94.5915,106.5449,108.9625,58.6729,55.1612,83.8534,77.2678,82.8069,36.8031,41.5464,63.6604,63.2918,37.7709,24.5673,57.8797,39.9821,44.2673,35.041,39.1246,73.1928,40.6793,82.1625,134.2069,46.9903,84.1699,22.1683,14.6702,65.533,57.6496
614,74.8913,52.9544,29.5823,11.4408,94.2634,105.5552,108.0401,58.0526,54.5507,82.7144,76.5889,83.0323,37.0457,40.5965,62.0421,63.1178,37.5027,24.3072,58.2505,38.9692,43.6895,34.8616,38.5595,72.7944,40.8297,82.9441,131.0061,46.4402,84.0893,21.9643,14.7314,67.3421,57.7947
615,74.0227,51.1463,29.1271,10.9961,93.2455,103.9083,105.9051,57.0824,53.8164,80.7967,75.4962,82.3973,36.4392,40.0204,60.7407,61.5923,36.7947,23.7005,58.2537,37.6728,42.8916,34.2689,38.3495,72.0087,40.5445,82.9353,128.1892,43.8602,83.8505,21.311,13.7993,67.5972,57.7748
616,72.783,48.9224,28.716,10.4909,92.9982,102.1315,102.8282,56.4892,52.2764,78.746,73.4795,81.8288,36.3637,40.8977,59.9017,59.9862,36.4445,23.2683,57.9572,36.4557,42.9724,33.6784,37.1969,70.3751,39.1636,82.6546,124.9309,41.3671,83.8132,20.0868,13.3977,67.1745,56.276
617,73.3899,48.106,28.5418,9.6178,93.7798,103.0934,104.7152,56.5779,52.0455,77.5946,73.3987,81.8497,36.527,41.9958,59.9106,59.6752,35.7905,23.2794,57.1891,35.8836,43.7113,34.0646,37.0395,70.3736,39.1234,82.0037,124.2225,41.1852,84.4599,20.4265,13.5199,66.4948,55.3491
