,APD,ALB,AVY,BLL,CF,EMN,ECL,FMC,FCX,IP,IFF,LYB,MLM,MON,NEM,NUE,PPG,PX,SEE,SHW,MOS,VMC
1057,135.1592,105.888,81.2635,36.429,26.6876,78.8244,125.8326,73.4757,12.4441,52.3696,134.5664,85.6529,211.8457,115.867,33.6629,57.8076,105.1182,118.2799,43.4924,310.9758,26.9196,117.8697
1058,136.6743,105.8494,81.921,36.626,26.707,79.3916,126.2463,73.5338,12.5302,52.8745,135.6485,86.0394,216.5341,115.9094,33.7582,59.7453,106.0802,119.4139,43.9366,321.527,27.1134,119.2643
1059,137.271,105.2512,81.9766,36.7813,26.0487,79.4349,126.3264,73.0707,12.1936,52.806,136.2593,85.6824,218.5167,115.6481,34.0921,59.7135,106.3307,119.5934,43.894,324.22,26.8038,120.5481
1060,139.4561,106.5821,82.313,37.1187,26.3355,81.3225,127.0725,73.3861,12.41,53.3143,137.8963,86.5444,222.213,116.0356,33.8127,61.1719,107.7626,122.635,44.1704,327.1585,27.1151,122.1459
1061,141.321,108.0336,82.4996,37.5175,27.1981,81.7886,128.2283,73.9555,13.0308,53.7308,139.3991,87.2434,223.3652,116.6932,32.8073,61.0576,110.0894,124.1769,44.8199,330.4936,27.4893,122.077
1062,142.0023,108.0472,82.6629,37.6679,27.2818,81.4258,128.7428,73.4796,13.4374,53.9995,139.0713,87.1401,221.6927,116.9821,32.7619,61.5535,110.4016,125.3574,44.8855,330.1703,27.263,120.9424
1063,140.3683,108.5848,83.2764,38.3682,27.3206,81.5091,129.1686,73.3516,13.1433,54.787,139.6795,86.9404,222.8657,116.577,32.8097,61.5851,111.3,125.095,44.1826,334.6423,27.5433,122.1745
1064,140.2179,108.8067,83.2399,38.5313,26.9614,80.1799,129.1097,73.1942,12.8786,54.1748,138.683,85.029,220.8135,116.5692,33.7163,61.4704,110.0388,124.9619,43.9619,334.4342,27.0281,121.2916
1065,141.625,109.5282,83.6154,38.542,26.6255,80.3886,129.3411,73.6665,12.6271,53.9305,138.9158,83.8696,223.0389,116.968,32.9345,61.7072,109.6558,125.034,44.1089,333.9535,26.9049,123.3763
1066,142.9475,108.4352,83.5961,38.4421,26.3244,79.9474,126.0678,73.7169,12.7091,53.5862,138.1034,83.0751,238.7722,116.9758,32.9394,61.592,109.498,125.1523,44.426,334.3316,25.1262,128.014
1067,143.7982,107.6867,83.2651,38.1737,25.4239,78.5814,125.676,72.0515,12.0173,53.2599,138.4368,82.4086,239.1119,116.448,32.8396,60.4347,109.299,125.5498,44.2258,334.2771,23.8932,127.7161
1068,144.7459,110.6035,83.6631,40.3249,27.0351,78.1347,125.8684,70.6226,11.622,53.1833,138.409,81.2431,238.8668,116.1232,32.2656,60.7679,109.7478,125.9863,44.9708,336.7405,23.4149,128.1565
1069,146.8598,110.0253,84.1092,40.1046,28.2258,79.2021,126.3326,72.3882,11.8323,53.2606,139.3101,83.5116,237.0427,116.2291,32.7814,60.559,110.5639,128.5945,45.9184,337.5499,23.5003,127.8709
1070,146.5415,109.3693,83.8756,39.8311,28.0995,79.4702,126.1149,72.798,11.6532,53.1205,137.6329,81.5762,234.5397,115.9464,32.5489,59.9349,108.7513,128.8997,46.2988,337.5548,23.5018,126.2698
1071,145.4671,109.2033,82.9784,39.788,27.5021,78.6432,125.5418,72.737,11.7467,52.7418,129.8635,81.6233,234.2282,116.0587,32.615,59.125,107.8875,128.8643,43.1401,338.3038,23.5744,126.3337
1072,145.0255,110.1059,83.3268,40.0685,27.6636,78.8137,126.4969,73.7477,11.7191,52.8714,129.6462,82.5233,235.537,116.0189,32.966,58.0653,107.9518,128.7214,43.0641,337.5306,23.525,131.0998
1073,143.8043,110.592,83.3375,39.9278,27.0797,77.7738,126.491,73.4499,11.7338,52.5114,130.5103,81.9624,232.6199,115.8909,33.4094,57.7104,107.0794,128.8032,43.1637,334.2967,23.6155,128.7949
1074,144.153,110.4196,83.274,40.1864,26.8329,77.7383,126.7453,73.013,11.5714,52.2269,130.5447,81.2963,230.9048,116.1655,33.7465,57.3253,107.1446,129.483,42.6275,334.3915,23.1384,128.1051
1075,144.8509,111.9969,83.9607,40.3938,27.805,78.7299,127.6064,74.7325,11.7723,52.9621,132.4011,82.9361,234.1672,116.5085,33.8724,57.4664,108.0025,130.0597,42.9446,334.3269,23.4904,129.9113
1076,144.4963,112.244,84.0999,40.4197,28.0225,79.5295,127.6098,75.4718,11.7926,52.7931,133.0604,83.0133,233.6632,116.635,33.7836,57.7965,107.4878,131.1519,43.3668,335.7152,23.4274,129.0109
1077,143.2962,111.2076,82.8345,40.1091,27.6805,77.6214,126.6031,74.2592,11.5062,51.9538,133.7319,80.741,226.0043,116.0827,34.4328,56.573,105.9731,129.5585,43.7566,331.0507,22.8821,124.7478
1078,142.8241,110.0321,82.3894,39.6617,27.262,77.3785,126.8807,71.7889,11.2848,50.9446,134.1735,80.3192,227.1886,115.687,33.4788,56.0002,105.4888,127.4627,42.9761,330.4724,22.7729,125.6741
1079,143.2576,110.7038,82.84,39.9961,28.5003,78.5315,127.0445,74.3809,11.6925,51.1819,134.8957,81.3548,229.6771,116.0924,33.5659,56.7197,106.5569,129.0595,43.303,332.5371,23.6082,126.4897
1080,143.2919,110.4715,83.1565,40.2152,28.1814,78.9387,127.7927,74.2781,11.7317,51.576,135.7965,80.2824,231.2272,116.0805,33.8395,56.8224,106.5202,129.8645,43.9313,330.9314,23.17,126.8497
1081,142.9484,111.5054,83.0098,40.2194,28.8016,79.6599,128.1208,74.2977,11.8735,51.9138,136.5428,80.6837,232.0219,116.1429,33.3201,58.1867,106.7121,129.9004,44.0203,332.0125,23.3279,127.3198
1082,144.2727,112.01,82.8831,40.2955,28.6387,79.5067,129.2351,74.6491,11.9064,52.1732,137.8101,81.7159,227.8513,116.2852,33.2487,59.0134,107.0183,132.5352,44.1054,332.6039,23.1536,124.666
1083,143.9369,112.8464,83.7796,40.6551,28.1594,79.6796,130.0827,75.0823,11.8474,52.1336,138.355,80.7409,229.5216,116.3604,33.3943,58.514,106.9154,132.101,44.2377,333.5591,22.8815,127.8539
1084,143.9253,112.7842,84.1,40.6561,27.9985,80.0272,131.2082,75.3865,11.6631,52.2758,138.4946,80.6708,227.6009,116.7091,34.0707,58.2362,107.2308,131.8475,44.5186,334.6797,23.0681,126.1212
1085,143.9038,112.2191,84.3708,40.7114,28.0662,79.8425,131.3293,75.0561,11.7153,53.3424,137.047,80.6004,226.8884,116.8812,33.9794,58.274,106.3516,131.3395,44.7282,335.0915,22.9672,125.2393
1086,143.9585,113.1859,84.2692,40.8793,26.9482,79.5704,132.5899,75.0546,11.3958,52.8771,137.6178,80.1843,224.1556,117.2389,34.1576,57.9283,106.3436,131.9559,44.3973,332.3379,22.5375,124.5758
1087,145.0326,113.3656,85.4718,41.3326,27.1249,81.43,133.5798,75.9934,11.495,53.687,138.066,80.279,225.7785,117.5157,34.0005,58.7313,108.952,134.4301,44.7021,336.9933,22.8407,126.2151
1088,146.7283,113.695,85.0208,41.5029,26.3588,80.9863,134.1983,76.3136,11.2443,54.3701,139.0599,80.2118,227.4568,117.7181,34.0652,58.8118,110.0792,136.2713,44.8264,344.3739,22.4819,126.4039
1089,145.3597,113.6992,84.2297,41.2416,26.2351,80.481,133.9478,76.0401,11.3958,54.2404,139.5771,79.1872,227.1443,117.7488,33.7667,58.9933,108.8462,134.3241,44.639,342.4872,22.5703,126.0567
1090,144.3099,113.2543,83.6343,41.0811,26.1143,80.3231,133.3656,75.8226,11.7413,53.8088,138.7592,78.8496,226.703,117.5658,34.9606,58.0431,108.159,133.3733,44.2461,341.1079,22.5097,125.0478
1091,143.6107,112.8636,83.6512,40.7713,26.0437,80.6752,133.5975,75.937,11.7178,54.0698,138.3085,79.4371,228.2829,117.7178,35.3204,57.2198,107.8556,133.4727,44.3586,339.8608,22.2601,126.8317
