,Dates,Actual,Predictions
99,2017-07-03 09:00:00,198.636,174.2348198471498
100,2017-07-05 09:00:00,201.3504,174.18394320196623
101,2017-07-06 09:00:00,201.7284,174.14335435455854
102,2017-07-07 09:00:00,202.478,174.14771919985824
103,2017-07-10 09:00:00,203.441,174.16751035861486
104,2017-07-11 09:00:00,205.8216,174.21258203575724
105,2017-07-12 09:00:00,207.1072,174.26808636787945
106,2017-07-13 09:00:00,206.2313,174.34216178505534
107,2017-07-14 09:00:00,208.119,174.38813784095757
108,2017-07-17 09:00:00,209.3048,174.47830904677622
109,2017-07-18 09:00:00,208.3393,174.5644350172978
110,2017-07-19 09:00:00,210.1739,174.6011832778018
111,2017-07-20 09:00:00,210.4649,174.67365058426074
112,2017-07-21 09:00:00,210.9986,174.73045080109947
113,2017-07-24 09:00:00,212.0993,174.773949603061
114,2017-07-25 09:00:00,212.8034,174.83041018848232
115,2017-07-26 09:00:00,229.7434,174.872164831407
116,2017-07-27 09:00:00,239.8216,175.31904298691862
117,2017-07-28 09:00:00,240.561,175.8671587102305
118,2017-07-31 09:00:00,243.8594,176.33790698391905
119,2017-08-01 09:00:00,241.2778,176.8126192554187
120,2017-08-02 09:00:00,239.172,177.11256914045921
121,2017-08-03 09:00:00,237.8439,177.38803130667617
122,2017-08-04 09:00:00,237.6883,177.58137803478053
123,2017-08-07 09:00:00,240.0338,177.70564353683403
124,2017-08-08 09:00:00,239.6286,177.75233213357737
125,2017-08-09 09:00:00,235.7861,177.8358917825531
126,2017-08-10 09:00:00,233.8064,177.73385901154387
127,2017-08-11 09:00:00,234.0826,177.61279415721702
128,2017-08-14 09:00:00,236.5602,177.4306925454836
129,2017-08-15 09:00:00,238.4854,177.37103344292748
130,2017-08-16 09:00:00,238.662,177.28264073944794
131,2017-08-17 09:00:00,236.1906,177.20366571175563
132,2017-08-18 09:00:00,236.109,177.1183091369699
133,2017-08-21 09:00:00,235.2763,177.03398515914486
134,2017-08-22 09:00:00,238.9261,176.95156292150423
135,2017-08-23 09:00:00,237.9876,176.89295207614705
136,2017-08-24 09:00:00,237.8546,176.8561207071583
137,2017-08-25 09:00:00,236.8073,176.8324987491469
138,2017-08-28 09:00:00,236.4485,176.73375364940867
139,2017-08-29 09:00:00,239.4582,176.66900986324057
140,2017-08-30 09:00:00,240.0859,176.6251910916905
141,2017-08-31 09:00:00,239.5611,176.6449489724408
142,2017-09-01 09:00:00,241.0714,176.65515508661375
143,2017-09-05 09:00:00,237.6504,176.66341737371192
144,2017-09-06 09:00:00,235.3432,176.59668277975425
145,2017-09-07 09:00:00,235.723,176.5155955774258
146,2017-09-08 09:00:00,238.3038,176.45788519576894
147,2017-09-11 09:00:00,240.758,176.37279288750398
148,2017-09-12 09:00:00,239.9857,176.3803847206514
149,2017-09-13 09:00:00,241.0066,176.3878698684256
150,2017-09-14 09:00:00,244.8453,176.3299255619596
151,2017-09-15 09:00:00,248.581,176.41607991666302
152,2017-09-18 09:00:00,252.3929,176.63248928190873
153,2017-09-19 09:00:00,253.112,176.80788839819536
154,2017-09-20 09:00:00,254.7341,177.00455999063655
155,2017-09-21 09:00:00,256.1143,177.2011307702939
156,2017-09-22 09:00:00,257.2339,177.37866848786874
157,2017-09-25 09:00:00,254.4799,177.57222760795457
158,2017-09-26 09:00:00,254.5302,177.57511353950304
159,2017-09-27 09:00:00,255.4856,177.6411278490315
160,2017-09-28 09:00:00,254.1876,177.70415301058094
161,2017-09-29 09:00:00,254.0066,177.63276047450404
162,2017-10-02 09:00:00,254.8627,177.62204157405893
163,2017-10-03 09:00:00,256.1993,177.6352348786811
164,2017-10-04 09:00:00,255.3196,177.6102818004171
165,2017-10-05 09:00:00,257.7838,177.59165937347214
166,2017-10-06 09:00:00,258.0408,177.59060284003715
167,2017-10-09 09:00:00,258.0976,177.6242973540793
168,2017-10-10 09:00:00,259.7608,177.63299519155422
169,2017-10-11 09:00:00,260.9813,177.63163132594326
170,2017-10-12 09:00:00,262.1073,177.6630707656751
171,2017-10-13 09:00:00,261.7544,177.70075570418038
172,2017-10-16 09:00:00,260.4677,177.7253359595517
173,2017-10-17 09:00:00,258.1307,177.7316906338761
174,2017-10-18 09:00:00,259.1697,177.68759780815637
175,2017-10-19 09:00:00,258.1633,177.59532625941134
176,2017-10-20 09:00:00,263.459,177.4972007178495
177,2017-10-23 09:00:00,263.6505,177.47504397088088
178,2017-10-24 09:00:00,265.7245,177.46556418678855
179,2017-10-25 09:00:00,259.0795,177.55216387951768
180,2017-10-26 09:00:00,259.1532,177.34603358969485
181,2017-10-27 09:00:00,257.0091,177.3042731607119
182,2017-10-30 09:00:00,259.0213,177.21681909276342
183,2017-10-31 09:00:00,258.3102,177.0938554345468
184,2017-11-01 09:00:00,257.8046,177.02174644256922
185,2017-11-02 09:00:00,261.3657,176.94713279123397
186,2017-11-03 09:00:00,261.9981,176.8910471592972
187,2017-11-06 09:00:00,264.5108,176.8542539621392
188,2017-11-07 09:00:00,265.8214,176.89770578338596
189,2017-11-08 09:00:00,266.3521,176.99426245135757
190,2017-11-09 09:00:00,263.03,177.08025433108898
191,2017-11-10 09:00:00,260.4731,176.9772232198903
192,2017-11-13 09:00:00,262.1104,176.95132856980055
193,2017-11-14 09:00:00,261.2295,176.93858754108936
194,2017-11-15 09:00:00,262.8827,176.91341717701943
195,2017-11-16 09:00:00,264.1517,176.83926648147792
196,2017-11-17 09:00:00,262.4869,176.85878847988934
197,2017-11-20 09:00:00,264.6084,176.85014553977936
198,2017-11-21 09:00:00,266.3122,176.83907917779774
199,2017-11-22 09:00:00,265.3007,176.8657598626265
200,2017-11-24 09:00:00,265.8516,176.86826016080767
201,2017-11-27 09:00:00,265.7143,176.87101298033087
202,2017-11-28 09:00:00,266.8163,176.8835358310023
203,2017-11-29 09:00:00,268.2755,176.90885701139658
204,2017-11-30 09:00:00,274.8719,176.93204350556223
205,2017-12-01 09:00:00,273.4242,177.0232179453948
206,2017-12-04 09:00:00,279.0551,177.02457700371235
207,2017-12-05 09:00:00,276.5022,177.22957984291105
208,2017-12-06 09:00:00,277.8423,177.35485249403803
209,2017-12-07 09:00:00,282.2766,177.45841711863366
210,2017-12-08 09:00:00,285.3903,177.58327575221148
211,2017-12-11 09:00:00,283.1415,177.84528871005264
212,2017-12-12 09:00:00,290.6958,177.93545697957663
213,2017-12-13 09:00:00,292.7455,178.2004600641617
214,2017-12-14 09:00:00,294.5258,178.449611072562
